bank_reference,transaction_id,bank_amount,bank_date
BNK0001,TXN0001,799,2026-08-02
BNK0002,TXN0002,1299,2026-08-09
BNK0003,TXN0003,799,2026-08-23
BNK0004,TXN0004,4999,2026-08-15
BNK0005,TXN0005,499,2026-08-04
BNK0006,TXN0006,1299,2026-08-18
BNK0007,TXN0007,3549,2026-08-08
BNK0008,TXN0008,1424,2026-08-16
BNK0009,TXN0009,574,2026-08-26
BNK0010,TXN0010,2624,2026-08-12
BNK0011,TXN0011,999,2026-08-08
BNK0012,TXN0012,799,2026-08-04
BNK0013,TXN0013,799,2026-08-13
BNK0014,TXN0014,4999,2026-08-10
BNK0018,TXN0018,799,2026-08-03
BNK0019,TXN0019,1499,2026-08-04
BNK0020,TXN0020,799,2026-08-14
BNK0021,TXN0021,2999,2026-08-22
BNK0022,TXN0022,999,2026-08-13
BNK0023,TXN0023,1299,2026-08-23
BNK0024,TXN0024,799,2026-08-21
BNK0025,TXN0025,3499,2026-08-25
BNK0026,TXN0026,999,2026-08-16
BNK0027,TXN0027,1499,2026-08-22
BNK0028,TXN0028,1999,2026-08-26
BNK0029,TXN0029,1299,2026-08-03
BNK0030,TXN0030,2499,2026-08-10
BNK0031,TXN0031,1299,2026-08-20
BNK0032,TXN0032,1299,2026-08-22
BNK0033,TXN0033,2499,2026-08-22
BNK0034,TXN0034,999,2026-08-10
BNK0035,TXN0035,1299,2026-08-25
BNK0036,TXN0036,4999,2026-08-15
BNK0037,TXN0037,1999,2026-08-09
BNK0038,TXN0038,3499,2026-08-17
BNK0039,TXN0039,499,2026-08-05
BNK0040,TXN0040,999,2026-08-23
BNK0041,TXN0041,4999,2026-08-04
BNK0042,TXN0042,2499,2026-08-21
BNK0043,TXN0043,3499,2026-08-10
BNK0044,TXN0044,799,2026-08-23
BNK0045,TXN0045,1999,2026-08-05
BNK0046,TXN0046,2499,2026-08-07
BNK0047,TXN0047,499,2026-08-25
BNK0048,TXN0048,3499,2026-08-26
BNK0049,TXN0049,3499,2026-08-05
BNK0050,TXN0050,3499,2026-08-21
BNK0051,TXN0051,999,2026-08-13
BNK0052,TXN0052,3499,2026-08-26
BNK0053,TXN0053,4999,2026-08-12
BNK0054,TXN0054,499,2026-08-05
BNK0055,TXN0055,1499,2026-08-09
BNK0056,TXN0056,1299,2026-08-20
BNK0057,TXN0057,799,2026-08-25
BNK0058,TXN0058,799,2026-08-26
BNK0059,TXN0059,999,2026-08-23
BNK0060,TXN0060,3499,2026-08-07
BNK0061,TXN0061,3499,2026-08-21
BNK0062,TXN0062,1299,2026-08-19
BNK0063,TXN0063,1499,2026-08-14
BNK0064,TXN0064,2999,2026-08-18
BNK0065,TXN0065,799,2026-08-09
BNK0066,TXN0066,799,2026-08-12
BNK0067,TXN0067,4999,2026-08-19
BNK0068,TXN0068,4999,2026-08-09
BNK0069,TXN0069,799,2026-08-24
BNK0070,TXN0070,1299,2026-08-04
BNK0071,TXN0071,1999,2026-08-04
BNK0072,TXN0072,1499,2026-08-23
BNK0073,TXN0073,1299,2026-08-19
BNK0074,TXN0074,4999,2026-08-20
BNK0075,TXN0075,1299,2026-08-17
BNK0076,TXN0076,1299,2026-08-05
BNK0077,TXN0077,2499,2026-08-13
BNK0078,TXN0078,2499,2026-08-16
BNK0079,TXN0079,799,2026-08-03
BNK0080,TXN0080,1999,2026-08-05
BNK0081,TXN0081,1299,2026-08-08
BNK0082,TXN0082,999,2026-08-15
BNK0083,TXN0083,1499,2026-08-16
BNK0084,TXN0084,799,2026-08-16
BNK0085,TXN0085,499,2026-08-22
BNK0086,TXN0086,799,2026-08-26
BNK0087,TXN0087,999,2026-08-15
BNK0088,TXN0088,2999,2026-08-08
BNK0089,TXN0089,499,2026-08-07
BNK0090,TXN0090,499,2026-08-14
BNK0091,TXN0091,2999,2026-08-11
BNK0092,TXN0092,3499,2026-08-23
BNK0093,TXN0093,999,2026-08-08
BNK0094,TXN0094,1299,2026-08-03
BNK0095,TXN0095,1999,2026-08-03
BNK0096,TXN0096,4999,2026-08-17
BNK0097,TXN0097,499,2026-08-18
BNK0098,TXN0098,999,2026-08-04
BNK0099,TXN0099,1299,2026-08-14
BNK0100,TXN0100,4999,2026-08-09
BNK0101,TXN0101,4999,2026-08-04
BNK0102,TXN0102,4999,2026-08-20
BNK0103,TXN0103,1499,2026-08-08
BNK0104,TXN0104,1299,2026-08-10
BNK0105,TXN0105,999,2026-08-23
BNK0106,TXN0106,2999,2026-08-12
BNK0107,TXN0107,499,2026-08-16
BNK0108,TXN0108,799,2026-08-19
BNK0109,TXN0109,3499,2026-08-10
BNK0110,TXN0110,1999,2026-08-04
BNK0111,TXN0111,1999,2026-08-11
BNK0112,TXN0112,2999,2026-08-19
BNK0113,TXN0113,4999,2026-08-22
BNK0114,TXN0114,3499,2026-08-11
BNK0115,TXN0115,999,2026-08-10
BNK0116,TXN0116,799,2026-08-25
BNK0117,TXN0117,1499,2026-08-11
BNK0118,TXN0118,1999,2026-08-08
BNK0119,TXN0119,3499,2026-08-17
BNK0120,TXN0120,499,2026-08-04
BNK0018-DUP,TXN0018,799,2026-08-03
BNK0019-DUP,TXN0019,1499,2026-08-04
