settlement_id,transaction_id,settlement_amount,settlement_date
SET0001,TXN0001,599,2026-08-02
SET0002,TXN0002,1199,2026-08-09
SET0003,TXN0003,699,2026-08-23
SET0004,TXN0004,4799,2026-08-15
SET0005,TXN0005,349,2026-08-04
SET0006,TXN0006,1099,2026-08-18
SET0007,TXN0007,3499,2026-08-08
SET0008,TXN0008,1299,2026-08-16
SET0009,TXN0009,499,2026-08-26
SET0010,TXN0010,2499,2026-08-12
SET0015,TXN0015,2999,2026-08-19
SET0016,TXN0016,2499,2026-08-04
SET0017,TXN0017,4999,2026-08-13
SET0018,TXN0018,799,2026-08-03
SET0019,TXN0019,1499,2026-08-04
SET0020,TXN0020,799,2026-08-14
SET0021,TXN0021,2999,2026-08-22
SET0022,TXN0022,999,2026-08-13
SET0023,TXN0023,1299,2026-08-23
SET0024,TXN0024,799,2026-08-21
SET0025,TXN0025,3499,2026-08-25
SET0026,TXN0026,999,2026-08-16
SET0027,TXN0027,1499,2026-08-22
SET0028,TXN0028,1999,2026-08-26
SET0029,TXN0029,1299,2026-08-03
SET0030,TXN0030,2499,2026-08-10
SET0031,TXN0031,1299,2026-08-20
SET0032,TXN0032,1299,2026-08-22
SET0033,TXN0033,2499,2026-08-22
SET0034,TXN0034,999,2026-08-10
SET0035,TXN0035,1299,2026-08-25
SET0036,TXN0036,4999,2026-08-15
SET0037,TXN0037,1999,2026-08-09
SET0038,TXN0038,3499,2026-08-17
SET0039,TXN0039,499,2026-08-05
SET0040,TXN0040,999,2026-08-23
SET0041,TXN0041,4999,2026-08-04
SET0042,TXN0042,2499,2026-08-21
SET0043,TXN0043,3499,2026-08-10
SET0044,TXN0044,799,2026-08-23
SET0045,TXN0045,1999,2026-08-05
SET0046,TXN0046,2499,2026-08-07
SET0047,TXN0047,499,2026-08-25
SET0048,TXN0048,3499,2026-08-26
SET0049,TXN0049,3499,2026-08-05
SET0050,TXN0050,3499,2026-08-21
SET0051,TXN0051,999,2026-08-13
SET0052,TXN0052,3499,2026-08-26
SET0053,TXN0053,4999,2026-08-12
SET0054,TXN0054,499,2026-08-05
SET0055,TXN0055,1499,2026-08-09
SET0056,TXN0056,1299,2026-08-20
SET0057,TXN0057,799,2026-08-25
SET0058,TXN0058,799,2026-08-26
SET0059,TXN0059,999,2026-08-23
SET0060,TXN0060,3499,2026-08-07
SET0061,TXN0061,3499,2026-08-21
SET0062,TXN0062,1299,2026-08-19
SET0063,TXN0063,1499,2026-08-14
SET0064,TXN0064,2999,2026-08-18
SET0065,TXN0065,799,2026-08-09
SET0066,TXN0066,799,2026-08-12
SET0067,TXN0067,4999,2026-08-19
SET0068,TXN0068,4999,2026-08-09
SET0069,TXN0069,799,2026-08-24
SET0070,TXN0070,1299,2026-08-04
SET0071,TXN0071,1999,2026-08-04
SET0072,TXN0072,1499,2026-08-23
SET0073,TXN0073,1299,2026-08-19
SET0074,TXN0074,4999,2026-08-20
SET0075,TXN0075,1299,2026-08-17
SET0076,TXN0076,1299,2026-08-05
SET0077,TXN0077,2499,2026-08-13
SET0078,TXN0078,2499,2026-08-16
SET0079,TXN0079,799,2026-08-03
SET0080,TXN0080,1999,2026-08-05
SET0081,TXN0081,1299,2026-08-08
SET0082,TXN0082,999,2026-08-15
SET0083,TXN0083,1499,2026-08-16
SET0084,TXN0084,799,2026-08-16
SET0085,TXN0085,499,2026-08-22
SET0086,TXN0086,799,2026-08-26
SET0087,TXN0087,999,2026-08-15
SET0088,TXN0088,2999,2026-08-08
SET0089,TXN0089,499,2026-08-07
SET0090,TXN0090,499,2026-08-14
SET0091,TXN0091,2999,2026-08-11
SET0092,TXN0092,3499,2026-08-23
SET0093,TXN0093,999,2026-08-08
SET0094,TXN0094,1299,2026-08-03
SET0095,TXN0095,1999,2026-08-03
SET0096,TXN0096,4999,2026-08-17
SET0097,TXN0097,499,2026-08-18
SET0098,TXN0098,999,2026-08-04
SET0099,TXN0099,1299,2026-08-14
SET0100,TXN0100,4999,2026-08-09
SET0101,TXN0101,4999,2026-08-04
SET0102,TXN0102,4999,2026-08-20
SET0103,TXN0103,1499,2026-08-08
SET0104,TXN0104,1299,2026-08-10
SET0105,TXN0105,999,2026-08-23
SET0106,TXN0106,2999,2026-08-12
SET0107,TXN0107,499,2026-08-16
SET0108,TXN0108,799,2026-08-19
SET0109,TXN0109,3499,2026-08-10
SET0110,TXN0110,1999,2026-08-04
SET0111,TXN0111,1999,2026-08-11
SET0112,TXN0112,2999,2026-08-19
SET0113,TXN0113,4999,2026-08-22
SET0114,TXN0114,3499,2026-08-11
SET0115,TXN0115,999,2026-08-10
SET0116,TXN0116,799,2026-08-25
SET0117,TXN0117,1499,2026-08-11
SET0118,TXN0118,1999,2026-08-08
SET0119,TXN0119,3499,2026-08-17
SET0120,TXN0120,499,2026-08-04
