transaction_id,amount,transaction_date,customer,status
TXN0001,799,2026-08-01,Rohan,SUCCESS
TXN0002,1299,2026-08-08,Vihaan,SUCCESS
TXN0003,799,2026-08-22,Kabir,SUCCESS
TXN0004,4999,2026-08-14,Diya,SUCCESS
TXN0005,499,2026-08-03,Arjun,SUCCESS
TXN0006,1299,2026-08-17,Aarav,SUCCESS
TXN0007,3499,2026-08-07,Tanya,SUCCESS
TXN0008,1299,2026-08-15,Rohan,SUCCESS
TXN0009,499,2026-08-25,Ishita,SUCCESS
TXN0010,2499,2026-08-11,Rohan,SUCCESS
TXN0011,999,2026-08-07,Aditya,SUCCESS
TXN0012,799,2026-08-03,Kunal,SUCCESS
TXN0013,799,2026-08-12,Nisha,SUCCESS
TXN0014,4999,2026-08-09,Diya,SUCCESS
TXN0015,2999,2026-08-18,Anaya,SUCCESS
TXN0016,2499,2026-08-03,Saanvi,SUCCESS
TXN0017,4999,2026-08-12,Arjun,SUCCESS
TXN0018,799,2026-08-02,Meera,SUCCESS
TXN0019,1499,2026-08-03,Meera,SUCCESS
TXN0020,799,2026-08-13,Rohan,SUCCESS
TXN0021,2999,2026-08-21,Nisha,SUCCESS
TXN0022,999,2026-08-12,Nisha,SUCCESS
TXN0023,1299,2026-08-22,Rohan,SUCCESS
TXN0024,799,2026-08-20,Ishita,SUCCESS
TXN0025,3499,2026-08-24,Meera,SUCCESS
TXN0026,999,2026-08-15,Kunal,SUCCESS
TXN0027,1499,2026-08-21,Meera,SUCCESS
TXN0028,1999,2026-08-25,Diya,SUCCESS
TXN0029,1299,2026-08-02,Aditya,SUCCESS
TXN0030,2499,2026-08-09,Kabir,SUCCESS
TXN0031,1299,2026-08-19,Aditya,SUCCESS
TXN0032,1299,2026-08-21,Priya,SUCCESS
TXN0033,2499,2026-08-21,Rahul,SUCCESS
TXN0034,999,2026-08-09,Vihaan,SUCCESS
TXN0035,1299,2026-08-24,Rohan,SUCCESS
TXN0036,4999,2026-08-14,Kunal,SUCCESS
TXN0037,1999,2026-08-08,Vihaan,SUCCESS
TXN0038,3499,2026-08-16,Kabir,SUCCESS
TXN0039,499,2026-08-04,Vihaan,SUCCESS
TXN0040,999,2026-08-22,Tanya,SUCCESS
TXN0041,4999,2026-08-03,Kunal,SUCCESS
TXN0042,2499,2026-08-20,Rahul,SUCCESS
TXN0043,3499,2026-08-09,Aarav,SUCCESS
TXN0044,799,2026-08-22,Rohan,SUCCESS
TXN0045,1999,2026-08-04,Saanvi,SUCCESS
TXN0046,2499,2026-08-06,Rahul,SUCCESS
TXN0047,499,2026-08-24,Rohan,SUCCESS
TXN0048,3499,2026-08-25,Ishita,SUCCESS
TXN0049,3499,2026-08-04,Saanvi,SUCCESS
TXN0050,3499,2026-08-20,Arjun,SUCCESS
TXN0051,999,2026-08-12,Ishita,SUCCESS
TXN0052,3499,2026-08-25,Aarav,SUCCESS
TXN0053,4999,2026-08-11,Priya,SUCCESS
TXN0054,499,2026-08-04,Nisha,SUCCESS
TXN0055,1499,2026-08-08,Diya,SUCCESS
TXN0056,1299,2026-08-19,Kabir,SUCCESS
TXN0057,799,2026-08-24,Priya,SUCCESS
TXN0058,799,2026-08-25,Vihaan,SUCCESS
TXN0059,999,2026-08-22,Priya,SUCCESS
TXN0060,3499,2026-08-06,Rohan,SUCCESS
TXN0061,3499,2026-08-20,Tanya,SUCCESS
TXN0062,1299,2026-08-18,Arjun,SUCCESS
TXN0063,1499,2026-08-13,Nisha,SUCCESS
TXN0064,2999,2026-08-17,Rahul,SUCCESS
TXN0065,799,2026-08-08,Meera,SUCCESS
TXN0066,799,2026-08-11,Aarav,SUCCESS
TXN0067,4999,2026-08-18,Meera,SUCCESS
TXN0068,4999,2026-08-08,Aarav,SUCCESS
TXN0069,799,2026-08-23,Diya,SUCCESS
TXN0070,1299,2026-08-03,Diya,SUCCESS
TXN0071,1999,2026-08-03,Meera,SUCCESS
TXN0072,1499,2026-08-22,Priya,SUCCESS
TXN0073,1299,2026-08-18,Vihaan,SUCCESS
TXN0074,4999,2026-08-19,Priya,SUCCESS
TXN0075,1299,2026-08-16,Tanya,SUCCESS
TXN0076,1299,2026-08-04,Anaya,SUCCESS
TXN0077,2499,2026-08-12,Tanya,SUCCESS
TXN0078,2499,2026-08-15,Diya,SUCCESS
TXN0079,799,2026-08-02,Kunal,SUCCESS
TXN0080,1999,2026-08-04,Meera,SUCCESS
TXN0081,1299,2026-08-07,Rahul,SUCCESS
TXN0082,999,2026-08-14,Ishita,SUCCESS
TXN0083,1499,2026-08-15,Meera,SUCCESS
TXN0084,799,2026-08-15,Anaya,SUCCESS
TXN0085,499,2026-08-21,Aarav,SUCCESS
TXN0086,799,2026-08-25,Meera,SUCCESS
TXN0087,999,2026-08-14,Priya,SUCCESS
TXN0088,2999,2026-08-07,Kunal,SUCCESS
TXN0089,499,2026-08-06,Kunal,SUCCESS
TXN0090,499,2026-08-13,Rohan,SUCCESS
TXN0091,2999,2026-08-10,Tanya,SUCCESS
TXN0092,3499,2026-08-22,Priya,SUCCESS
TXN0093,999,2026-08-07,Saanvi,SUCCESS
TXN0094,1299,2026-08-02,Diya,SUCCESS
TXN0095,1999,2026-08-02,Diya,SUCCESS
TXN0096,4999,2026-08-16,Ishita,SUCCESS
TXN0097,499,2026-08-17,Kabir,SUCCESS
TXN0098,999,2026-08-03,Kabir,SUCCESS
TXN0099,1299,2026-08-13,Anaya,SUCCESS
TXN0100,4999,2026-08-08,Diya,SUCCESS
TXN0101,4999,2026-08-03,Tanya,SUCCESS
TXN0102,4999,2026-08-19,Aditya,SUCCESS
TXN0103,1499,2026-08-07,Aditya,SUCCESS
TXN0104,1299,2026-08-09,Kunal,SUCCESS
TXN0105,999,2026-08-22,Saanvi,SUCCESS
TXN0106,2999,2026-08-11,Kabir,SUCCESS
TXN0107,499,2026-08-15,Anaya,SUCCESS
TXN0108,799,2026-08-18,Arjun,SUCCESS
TXN0109,3499,2026-08-09,Vihaan,SUCCESS
TXN0110,1999,2026-08-03,Meera,SUCCESS
TXN0111,1999,2026-08-10,Ishita,SUCCESS
TXN0112,2999,2026-08-18,Saanvi,SUCCESS
TXN0113,4999,2026-08-21,Aarav,SUCCESS
TXN0114,3499,2026-08-10,Anaya,SUCCESS
TXN0115,999,2026-08-09,Anaya,SUCCESS
TXN0116,799,2026-08-24,Vihaan,SUCCESS
TXN0117,1499,2026-08-10,Arjun,SUCCESS
TXN0118,1999,2026-08-07,Rohan,SUCCESS
TXN0119,3499,2026-08-16,Rohan,SUCCESS
TXN0120,499,2026-08-03,Tanya,SUCCESS
